is_canceled,lead_time,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,meal_FB,meal_HB,meal_SC,meal_Undefined,market_segment_Complementary,market_segment_Corporate,market_segment_Direct,market_segment_Groups,market_segment_Offline TA/TO,market_segment_Online TA,distribution_channel_Direct,distribution_channel_GDS,distribution_channel_TA/TO,deposit_type_Non Refund,deposit_type_Refundable,customer_type_Group,customer_type_Transient,customer_type_Transient-Party
0,115,9,27,2,2,2,0.0,0,0,0,0,2,0,87.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,58,17,29,1,1,2,0.0,0,0,0,0,0,0,127.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,204,37,7,4,10,2,0.0,0,0,0,0,0,0,119.85,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,330,37,12,2,1,2,0.0,0,0,1,0,0,0,62.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,84,9,1,6,19,2,0.0,0,0,0,0,0,0,55.8,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,3,6,11,0,1,2,0.0,0,0,0,0,0,0,75.0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,190,29,17,1,2,2,1.0,0,0,0,0,0,0,125.1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,147,27,28,2,5,2,1.0,0,0,0,0,0,0,106.25,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,8,36,1,0,2,1,0.0,0,0,0,0,0,0,73.15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,58,14,4,0,4,2,1.0,0,0,0,0,0,0,135.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,12,11,9,0,3,1,0.0,0,0,0,0,1,0,49.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,110,17,29,2,1,2,0.0,0,0,0,0,0,0,102.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,3,49,30,3,8,2,0.0,0,1,1,0,0,0,89.45,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,4,12,14,1,2,1,0.0,0,1,0,1,0,0,34.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,59,6,6,2,2,1,0.0,0,0,0,0,0,0,51.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,74,22,1,0,2,2,0.0,0,0,0,0,0,0,144.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,22,47,19,0,3,2,0.0,0,0,0,0,0,0,95.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,97,15,9,4,10,2,2.0,0,0,0,0,0,0,187.64,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,113,27,30,1,3,2,0.0,0,0,0,0,0,0,85.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
0,36,47,20,0,2,2,0.0,0,0,0,0,0,0,64.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,372,14,4,0,1,2,0.0,0,0,0,0,0,0,90.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
0,83,39,23,0,2,3,0.0,0,0,0,0,1,0,84.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,148,14,30,1,4,2,0.0,0,0,0,0,0,0,51.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,48,12,20,1,3,2,0.0,0,0,0,0,0,0,72.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,92,10,5,2,5,2,0.0,0,0,0,0,0,0,52.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,29,17,29,1,1,1,0.0,0,0,0,0,0,0,115.0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,212,21,22,2,5,2,0.0,0,0,0,0,0,0,114.56,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,105,29,15,1,2,2,0.0,0,0,0,0,0,0,118.8,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,2,48,24,0,1,1,0.0,0,1,0,3,0,0,27.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,142,21,24,0,4,2,0.0,0,0,0,0,0,0,126.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,120,47,16,2,4,2,0.0,0,0,0,0,0,0,68.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,304,23,8,2,3,2,0.0,0,0,0,0,0,0,66.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
1,14,20,16,0,5,2,0.0,0,0,0,0,0,0,132.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,5,48,22,2,0,1,0.0,0,0,0,0,0,0,40.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,87,13,20,2,1,2,0.0,0,0,0,0,0,0,78.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,25,44,26,1,2,2,0.0,0,0,0,0,0,0,48.6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,55,32,3,1,3,2,0.0,0,0,0,0,0,0,210.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,6,27,1,0,2,1,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,7,10,0,1,2,0.0,0,0,0,0,0,0,55.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,185,51,16,1,2,2,0.0,0,0,0,0,0,0,79.2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,0,52,20,0,1,1,0.0,0,1,0,6,0,0,65.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,42,44,26,1,4,1,0.0,0,0,0,0,0,0,73.15,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,10,21,21,1,1,2,0.0,0,0,0,0,0,0,107.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,41,30,20,1,4,2,0.0,0,0,0,0,0,0,104.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,220,35,27,1,0,2,0.0,0,0,0,0,1,0,128.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,119,8,21,2,5,3,1.0,0,0,0,0,0,0,135.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,192,26,24,0,2,1,0.0,0,0,0,0,0,0,95.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,465,30,26,0,3,2,0.0,0,0,0,0,0,0,112.67,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,38,3,21,1,1,1,0.0,0,0,0,0,0,0,98.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,34,16,11,1,3,2,0.0,0,0,0,0,0,0,113.04,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,18,48,20,2,4,2,0.0,0,0,0,0,0,0,68.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,464,30,25,0,4,2,0.0,0,0,0,0,1,0,107.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,10,47,17,1,3,3,0.0,0,0,0,0,0,0,51.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
1,127,10,11,1,1,2,0.0,0,0,0,0,0,0,80.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
1,341,39,23,0,2,2,0.0,0,0,1,0,0,0,62.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,2,1,5,1,3,2,0.0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,56,37,5,1,3,1,0.0,0,0,0,0,0,0,123.98,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,5,22,1,0,1,1,0.0,0,0,0,0,0,0,67.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,76,32,6,2,0,3,0.0,0,0,0,1,2,0,179.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
1,95,35,26,2,3,3,1.0,0,0,0,0,0,0,253.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,238,11,17,1,2,2,0.0,0,0,0,0,0,0,79.2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,35,28,15,1,1,2,0.0,0,0,0,0,0,0,130.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,292,30,21,0,2,2,0.0,0,0,0,0,0,0,115.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,230,19,7,2,2,3,0.0,0,0,0,0,0,0,157.7,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,36,10,2,0,3,3,0.0,0,0,0,0,0,0,117.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,157,37,11,1,2,3,0.0,0,0,0,0,0,0,153.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,241,27,2,2,5,2,0.0,0,0,0,0,0,0,97.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,70,12,16,0,4,2,0.0,0,0,0,0,0,0,68.0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,423,21,23,0,1,2,0.0,0,0,0,0,0,0,90.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
1,385,39,21,0,4,2,0.0,0,0,0,0,0,0,66.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
0,247,24,6,0,0,2,0.0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,232,23,8,2,5,2,0.0,0,0,0,0,0,0,156.8,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,162,13,1,2,1,2,0.0,0,0,0,0,0,105,88.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,98,48,23,1,2,1,0.0,0,0,0,0,0,0,84.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,105,15,6,0,1,2,0.0,0,0,0,0,0,0,75.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
1,1,34,22,2,2,2,0.0,0,0,0,0,1,0,12.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,116,20,19,1,2,2,0.0,0,0,0,0,0,0,126.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,106,50,9,0,2,2,0.0,0,0,0,0,0,57,75.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
1,113,20,20,2,1,1,0.0,0,0,0,0,0,0,190.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
0,4,17,17,2,1,2,2.0,0,0,0,0,0,0,152.85,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,53,14,2,0,1,1,0.0,0,0,0,0,0,0,75.6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,26,45,5,4,11,1,0.0,0,0,0,0,0,0,131.57,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,73,18,30,2,1,3,0.0,0,0,0,0,0,0,159.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,1,41,4,0,1,2,0.0,0,0,0,0,0,0,95.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0,134,8,25,2,1,2,0.0,0,0,0,0,0,0,126.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,27,1,3,0,2,2,0.0,0,0,0,0,0,0,106.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,219,36,4,0,1,2,0.0,0,0,0,0,0,0,108.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,139,31,1,0,3,2,0.0,0,0,0,0,0,0,140.17,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,26,14,7,0,2,2,0.0,0,0,0,0,0,0,188.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,4,4,27,0,2,2,0.0,0,0,0,0,0,0,70.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,166,36,29,1,0,3,0.0,0,0,0,0,0,0,128.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,183,49,3,2,1,2,0.0,0,0,0,0,0,0,72.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
0,0,6,8,0,1,2,0.0,0,1,0,0,0,0,56.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,2,11,0,2,1,0.0,0,1,0,1,0,0,30.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0,49,14,30,0,3,3,0.0,0,0,0,0,1,0,174.6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,2,17,21,0,1,2,0.0,0,0,0,0,0,0,101.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,64,48,22,0,3,2,0.0,0,0,0,0,0,0,93.6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,88,7,14,0,3,2,1.0,0,0,0,0,0,0,111.6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,134,32,7,2,7,2,1.0,0,0,0,0,1,0,150.6,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,216,43,19,1,2,2,0.0,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,54,3,18,0,3,2,0.0,0,0,0,0,0,0,65.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
0,117,10,29,1,2,2,0.0,0,0,0,0,2,0,86.33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,88,10,11,2,5,2,0.0,0,0,0,0,2,0,34.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,16,36,5,2,1,2,2.0,0,0,0,0,0,0,165.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,311,26,25,2,5,2,2.0,0,0,0,0,0,0,151.14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,8,29,14,0,1,1,0.0,0,1,0,1,0,0,134.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,19,26,26,1,1,2,0.0,0,1,0,2,2,0,150.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,51,15,15,2,1,2,0.0,0,0,0,0,0,0,114.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,6,18,30,1,1,2,0.0,0,0,0,0,0,0,95.0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,196,10,9,2,5,2,1.0,0,0,0,0,4,0,105.3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,629,13,30,0,2,2,0.0,0,0,0,0,0,0,62.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
0,32,37,6,2,4,2,0.0,0,0,0,1,1,0,129.5,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,42,5,2,1,3,2,0.0,0,0,0,0,0,0,90.1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,124,18,28,1,3,1,0.0,0,0,0,0,0,0,96.48,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,237,30,29,2,6,2,2.0,0,0,0,0,0,0,244.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,149,27,28,2,5,2,1.0,0,0,0,0,0,0,106.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,72,37,11,0,2,1,0.0,0,0,0,0,0,0,98.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,313,35,26,0,2,1,0.0,0,0,1,0,0,0,60.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1,24,11,15,2,5,2,0.0,0,0,0,0,0,0,68.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,87,39,25,2,3,2,0.0,0,0,0,0,0,0,170.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
0,7,44,29,0,1,1,0.0,0,0,0,0,0,0,65.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,8,4,19,0,5,2,0.0,0,0,0,0,0,0,79.4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,183,37,8,0,3,2,0.0,0,0,0,0,0,0,110.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,122,21,23,1,5,2,0.0,0,0,0,0,0,0,126.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,4,9,26,1,2,2,0.0,0,0,0,0,0,0,51.33,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,1,18,4,0,1,2,2.0,0,0,0,0,1,0,260.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,34,15,4,1,4,2,0.0,0,0,0,0,0,0,131.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,57,18,24,1,0,1,0.0,0,0,0,0,0,0,94.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,106,39,25,2,4,3,0.0,0,0,0,0,0,0,95.82,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,40,23,7,0,2,1,0.0,0,0,0,0,0,0,95.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,97,42,11,0,5,2,0.0,0,0,0,0,2,0,176.8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,304,34,17,1,1,2,0.0,0,0,1,0,0,0,62.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
1,317,38,15,0,2,2,0.0,0,0,0,0,0,0,120.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
1,142,17,22,2,3,2,0.0,0,0,0,0,0,0,103.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
0,84,15,15,2,1,3,0.0,0,0,0,0,0,0,204.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,67,40,28,1,3,2,0.0,0,0,0,0,0,0,70.84,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,8,40,30,0,3,2,0.0,0,0,0,0,0,0,151.33,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,2,8,0,2,2,0.0,0,0,0,0,1,0,75.75,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1,28,9,2,0,3,2,0.0,0,0,0,0,0,0,95.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
0,83,31,25,1,2,2,1.0,0,0,0,0,0,0,117.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,230,42,12,0,1,2,0.0,0,0,0,0,0,0,68.5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,6,9,0,0,2,0.0,0,1,0,0,0,0,0.0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,134,28,9,2,5,2,0.0,0,0,0,0,0,0,88.4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,207,41,4,0,1,2,0.0,0,0,0,0,0,0,98.1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,41,3,1,0,1,0.0,0,0,0,0,0,0,156.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,247,24,6,1,1,2,0.0,0,0,0,0,0,0,115.0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,6,15,12,0,2,2,0.0,0,0,0,0,0,0,100.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0,72,44,28,0,3,2,0.0,0,0,0,0,0,58,85.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,7,23,4,1,1,2,0.0,0,0,0,0,0,0,119.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,580,6,9,0,2,2,0.0,0,0,0,0,0,0,62.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0
1,65,23,5,1,4,2,0.0,0,0,0,0,0,0,126.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
1,124,42,9,2,0,2,1.0,0,0,0,0,0,0,135.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,186,30,18,1,2,2,0.0,0,0,0,0,0,0,105.3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,41,33,14,1,3,2,0.0,0,0,0,0,0,0,131.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0,96,12,19,2,5,2,0.0,0,0,0,0,1,0,34.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,193,26,20,1,2,2,0.0,0,0,0,0,0,39,120.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
